iter	Passed	Remaining
1028	22459	21193
1029	22478	21169
1030	22501	21147
1031	22521	21124
1032	22541	21101
1033	22563	21079
1034	22584	21057
1035	22605	21034
1036	22627	21013
1037	22649	20990
1038	22671	20969
1039	22693	20947
1040	22713	20924
1041	22733	20900
1042	22756	20879
1043	22776	20856
1044	22797	20834
1045	22818	20811
1046	22841	20790
1047	22863	20768
1048	22884	20746
1049	22904	20722
1050	22927	20701
1051	22947	20679
1052	22967	20655
1053	22989	20633
1054	23009	20610
1055	23029	20586
1056	23051	20565
1057	23072	20542
1058	23092	20519
1059	23113	20496
1060	23132	20472
1061	23153	20450
1062	23176	20429
1063	23196	20406
1064	23216	20382
1065	23236	20359
1066	23258	20337
1067	23278	20314
1068	23299	20292
1069	23321	20269
1070	23341	20247
1071	23364	20226
1072	23385	20203
1073	23404	20179
1074	23426	20157
1075	23448	20136
1076	23471	20115
1077	23491	20091
1078	23512	20069
1079	23533	20047
1080	23556	20026
1081	23577	20004
1082	23598	19981
1083	23619	19959
1084	23642	19937
1085	23663	19915
1086	23684	19893
1087	23705	19871
1088	23726	19848
1089	23746	19825
1090	23768	19803
1091	23789	19780
1092	23810	19758
1093	23830	19735
1094	23849	19711
1095	23871	19689
1096	23891	19666
1097	23911	19643
1098	23932	19620
1099	23952	19597
1100	23973	19574
1101	23992	19550
1102	24014	19529
1103	24037	19508
1104	24057	19485
1105	24077	19462
1106	24098	19440
1107	24119	19417
1108	24140	19394
1109	24159	19371
1110	24180	19349
1111	24200	19325
1112	24223	19304
1113	24245	19283
1114	24267	19261
1115	24289	19240
1116	24310	19217
1117	24330	19194
1118	24351	19172
1119	24372	19149
1120	24392	19126
1121	24412	19103
1122	24434	19081
1123	24455	19059
1124	24476	19037
1125	24496	19014
1126	24518	18992
1127	24539	18970
1128	24559	18946
1129	24579	18924
1130	24600	18901
1131	24620	18878
1132	24641	18856
1133	24661	18833
1134	24681	18810
1135	24701	18787
1136	24721	18763
1137	24745	18743
1138	24765	18720
1139	24785	18697
1140	24804	18674
1141	24826	18652
1142	24847	18629
1143	24868	18608
1144	24888	18584
1145	24908	18562
1146	24930	18540
1147	24950	18517
1148	24971	18495
1149	24991	18472
1150	25011	18449
1151	25033	18427
1152	25056	18406
1153	25076	18383
1154	25097	18361
1155	25117	18338
1156	25138	18315
1157	25158	18293
1158	25180	18271
1159	25201	18249
1160	25222	18227
1161	25244	18205
1162	25266	18184
1163	25286	18161
1164	25306	18137
1165	25326	18114
1166	25348	18093
1167	25368	18070
1168	25390	18048
1169	25409	18025
1170	25431	18004
1171	25451	17981
1172	25471	17958
1173	25492	17935
1174	25512	17913
1175	25533	17890
1176	25555	17869
1177	25577	17847
1178	25597	17824
1179	25618	17802
1180	25640	17781
1181	25659	17757
1182	25681	17736
1183	25702	17713
1184	25721	17690
